Total syscall: 295
[NtQueryDefaultLocale]: 0x50015 Arg: 19ea30
[NtQueryDefaultLocale]: 0x50015 Arg: 19ea50
[]: 0x103e Arg: 19ee80
[]: 0x104f Arg: 2890585
[]: 0x111085 Arg: 2890585
[]: 0x1074 Arg: 19f7d8
[NtProtectVirtualMemory]: 0x50 Arg: 19f52c
[NtProtectVirtualMemory]: 0x50 Arg: 19f52c
[NtProtectVirtualMemory]: 0x50 Arg: 19f584
[NtFlushInstructionCache]: 0xc00e8 Arg: 75824080
[NtProtectVirtualMemory]: 0x50 Arg: 19f584
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[]: 0x10a8 Arg: 19f728
[NtWaitForMultipleObjects]: 0x1d005b Arg: 2
[]: 0x103e Arg: 19f680
[]: 0x109e Arg: 2890585
[]: 0x13bc Arg: 0
[]: 0x31023 Arg: 85000f
[]: 0x31023 Arg: 85000f
[]: 0x7100b Arg: 7b0111a6
[]: 0x7100b Arg: 11010d16
[]: 0x1008 Arg: 0
[]: 0x7100b Arg: 7b0111a6
[]: 0x7100b Arg: 11010d16
[]: 0x106b Arg: 20
[]: 0x1052 Arg: 18
[]: 0x31054 Arg: 11010d16
[]: 0x7100b Arg: 11010d16
[]: 0x8103a Arg: ffffffff
[]: 0x7100b Arg: 11010d16
[]: 0xc101d Arg: 88000b
[]: 0x1029 Arg: 11010d16
[]: 0xc101d Arg: 88000b
[]: 0x81035 Arg: 11010d16
[]: 0x7100b Arg: 11010d16
[]: 0x3103b Arg: 11010d16
[]: 0x41098 Arg: 0
[]: 0x7100b Arg: 11010d16
[]: 0x14ac Arg: ab01095e
[]: 0x109c Arg: 20
[]: 0x3100a Arg: 0
[]: 0x7100b Arg: 11010d16
[]: 0x8103a Arg: ffffffff
[]: 0x7100b Arg: 11010d16
[]: 0xc101d Arg: 88000b
[]: 0x1029 Arg: 11010d16
[]: 0xc101d Arg: 88000b
[]: 0x81035 Arg: 11010d16
[]: 0x7100b Arg: 11010d16
[]: 0x3103b Arg: 11010d16
[]: 0x41098 Arg: 0
[]: 0x7100b Arg: 11010d16
[]: 0x14ac Arg: ab01095e
[]: 0xb104b Arg: 20
[]: 0x3100a Arg: 0
[NtQueryDefaultLocale]: 0x50015 Arg: 19f498
[NtQueryDefaultLocale]: 0x50015 Arg: 19f4b8
[NtQueryDefaultLocale]: 0x50015 Arg: 19f498
[NtQueryDefaultLocale]: 0x50015 Arg: 19f4b8
[]: 0x103e Arg: 19f680
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f3f4
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f38c
[NtFreeVirtualMemory]: 0x1e Arg: 19f87c
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5cc
[NtCreateFile]: 0x55 Arg: 80100080
[NtMapViewOfSection]: 0x28 Arg: 4a0
[NtUnmapViewOfSectionEx]: 0x1cc Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5b4
[NtClose]: 0x3000f Arg: 19f76c
[NtQueryDirectoryFileEx]: 0x142 Arg: 61c
[NtOpenFile]: 0x33 Arg: 19f1e8
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtOpenFile]: 0x33 Arg: 19f158
[NtFreeVirtualMemory]: 0x1e Arg: 19f7cc
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f33c
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: 19f504
[NtFreeVirtualMemory]: 0x1e Arg: 19f874
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtMapViewOfSection]: 0x28 Arg: 4a0
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtUnmapViewOfSectionEx]: 0x1cc Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5ac
[NtOpenFile]: 0x33 Arg: 19f170
[NtOpenKeyEx]: 0x120 Arg: 19f634
[NtQueryInformationProcess]: 0x19 Arg: ffffffff
[NtQueryInformationProcess]: 0x19 Arg: ffffffff
[NtWriteFile]: 0x1a0008 Arg: 0
[NtWriteFile]: 0x1a0008 Arg: 0
[NtWriteFile]: 0x1a0008 Arg: 0
[NtWriteFile]: 0x1a0008 Arg: 0
[NtQuerySystemInformation]: 0x36 Arg: 19f874
[NtWaitForMultipleObjects]: 0x1d005b Arg: 2
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtWaitForMultipleObjects]: 0x1d005b Arg: 2
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5e4
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5e4
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5e4
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtWaitForMultipleObjects]: 0x1d005b Arg: 2
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5e4
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5e4
[NtAllocateVirtualMemory]: 0x18 Arg: 19f5e4
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f0b4
[NtAllocateVirtualMemory]: 0x18 Arg: 19f0b4
[NtAllocateVirtualMemory]: 0x18 Arg: 19e9c4
[NtAllocateVirtualMemory]: 0x18 Arg: 19e9c4
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f0b4
[NtProtectVirtualMemory]: 0x50 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19e87c
[NtAllocateVirtualMemory]: 0x18 Arg: 19e81c
[NtAllocateVirtualMemory]: 0x18 Arg: 19e874
[NtAllocateVirtualMemory]: 0x18 Arg: 19e87c
[NtAllocateVirtualMemory]: 0x18 Arg: 19e81c
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f414
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtDelayExecution]: 0x60034 Arg: 0
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtWaitForSingleObject]: 0xd0004 Arg: 600
[NtReleaseMutant]: 0x70020 Arg: 0
[NtWaitForSingleObject]: 0xd0004 Arg: 480
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: 19f0ec
[NtWaitForMultipleObjects]: 0x1d005b Arg: 2
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
[NtCreateFile]: 0x55 Arg: 80100080
[NtAllocateVirtualMemory]: 0x18 Arg: ffffffff
[NtFreeVirtualMemory]: 0x1e Arg: ffffffff
